1001,'Volkswagen Jetta',2015,'COMPACT','No'
1002,'Chevrolet Cruze',2015,'COMPACT','Yes'
1003,'Mazda 3',2014,'COMPACT','No'
1004,'Ford Mustang',2014,'COMPACT','Yes'
1005,'Chevrolet Tahoe',2015,'LARGE','Yes'
1006,'Ford Expedition',2014,'LARGE','Yes'
1007,'Cadillac Escalade',2014,'LARGE','Yes'
1008,'Dodge Avenger',2014,'MEDIUM','Yes'
1009,'Toyota Camry',2014,'MEDIUM','No'
1010,'Mazda 6',2015,'MEDIUM','Yes'
1011,'Audi A6',2015,'MEDIUM','Yes'
1012,'BMW X5',2015,'MEDIUM','No'
1013,'Acura RDX',2014,'SUV','Yes'
1014,'BMW X3',2015,'SUV','No'
1015,'Dodge Durango',2014,'SUV','Yes'
1016,'Toyota Tacoma',2015,'TRUCK','No'
1017,'Chevy Silverado',2014,'TRUCK','No'
1018,'GMC Sierra',2014,'TRUCK','Yes'
1019,'Toyota Sienna',2015,'VAN','Yes'
1020,'Honda Odyssey',2014,'VAN','No'
1021,'Hummer',2015,'VAN','No'
1022,'Dodge Nitro',2014,'VAN','No'
